[regular verb]
aah,aahed
desegment,desegmented
desegregate,desegregated
deselect,deselected
desensitize,desensitized
deserve,deserved
desex,desexed
desexualize,desexualized
desiccate,desiccated
desiderate,desiderated
designate,designated
desig,designed
desilicate,desilicated
desilicify,desilicified
desilver,desilvered
desilverize,desilverized
desolate,desolated
desor,desorbed
despaire,despaired
despatch,despatched
despise,despised
despite,despited
despond,desponded
despumate,despumated
desquamate,desquamated
destabilize,destabilized
destain,destained
desterilize,desterilized
destin,destined
destitute,destituted
destress,destressed
destroy,destroyed
destruct,destructed
desugar,desugared
desulfurate,desulfurated
desulfure,desulfured
desulfurise,desulfurised
desulfurize,desulfurized
desulphurate,desulphurated
desulphurise,desulphurised
desulphurize,desulphurized
detach,detached
detain,detained
detect,detected
deterge,deterged
deteriorate,deteriorated
determinate,determinated
deter,deterred
detest,detested
dethron,dethroned
detick,deticked
detonate,detonated
detoure,detoured
detox,detoxed
detoxify,detoxified
detract,detracted
detrain,detrained
detribalize,detribalized
detrit,detrited
detrude,detruded
detruncate,detruncated
detune,detuned
deuce,deuced
devaluate,devaluated
devalue,devalued
devein,deveined
devel,develed
devertebrate,devertebrated
devest,devested
deviate,deviated
devile,deviled
devilize,devilized
devill,devilled
devise,devised
devitalise,devitalised
devitalize,devitalized
devitrify,devitrified
devocalise,devocalised
devocalize,devocalized
devoice,devoiced
devolatilise,devolatilised
devolatilize,devolatilized
devoure,devoured
dewater,dewatered
dewax,dewaxed
dewclaw,dewclawed
dew-gem,dew-gemmed
dewlap,dewlapped
dewool,dewooled
deworme,dewormed
pearl,pearled
dezince,dezinced
dezincify,dezincified
dezinck,dezincked
diabolise,diabolised
diabolize,diabolized
diadem,diademed
diagnose,diagnosed
diagram,diagramed
diagram,diagrammed
dial,dialed
dialyse,dialysed
dialyze,dialyzed
dial,dialled
dialoge,dialoged
dialog,dialogged
dialogise,dialogised
dialogize,dialogized
diamond,diamonded
diamondize,diamondized
match,matched
pa,paned
tile,tiled
diapause,diapaused
diaphragm,diaphragmed
diazotize,diazotized
dib,dibbed
dibble,dibbled
dice,diced
dichotomise,dichotomised
dichotomize,dichotomized
dictate,dictated
diduce,diduced
we,weed
diesel,dieseled
engin,engined
power,powered
propel,propelled
die,dieted
differentiate,differentiated
difform,difformed
diffuse,diffused
digammate,digammated
digitalize,digitalized
digitate,digitated
digitinerve,digitinerved
digitise,digitised
digitize,digitized
digladiate,digladiated
dignify,dignified
digress,digressed
dyk,dyked
dilacerate,dilacerated
dilapidate,dilapidated
dilate,dilated
dill,dilled
dillydally,dillydallied
dilute,diluted
dimerize,dimerized
dimidiate,dimidiated
diminish,diminished
diminuendo,diminuendoed
diminute,diminuted
letter,lettered
dim,dimmed
dynamit,dynamited
dynamometamorphose,dynamometamorphosed
dindle,dindled
dine,dined
dingle,dingled
diosmose,diosmosed
diphthongise,diphthongised
diphthongize,diphthongized
diploma,diplomaed
diplomatize,diplomatized
dip,dipped
direct,directed
dirge,dirged
dirl,dirled
dirtie,dirtied
shirt,shirted
disabuse,disabused
disaccustom,disaccustomed
disacidify,disacidified
disadvise,disadvised
disaffect,disaffected
disaffiliate,disaffiliated
disalign,disaligned
disarm,disarmed
disarticulate,disarticulated
disassemble,disassembled
disassimilate,disassimilated
disassociate,disassociated
disbench,disbenched
disbosom,disbosomed
disbowel,disboweled
disbranch,disbranched
disburden,disburdened
discase,discased
discharge,discharged
disciple,discipled
discombobulate,discombobulated
discompose,discomposed
disconfirm,disconfirmed
dyscrase,dyscrased
discriminate,discriminated
disease,diseased
disemb,disembed
disembowel,disemboweled
disenfranchise,disenfranchised
disentangle,disentangled
disenthrall,disenthralled
disentitle,disentitled
disestablish,disestablished
disfeature,disfeatured
disfranchise,disfranchised
disfurnish,disfurnished
disgavel,disgaveled
disguise,disguised
dishabit,dishabited
dishabituate,dishabituated
disharmonise,disharmonised
dishearten,disheartened
dish,dished
dishelm,dishelmed
dishevel,disheveled
disillusionise,disillusionised
disinclin,disinclined
disincorporate,disincorporated
disinfect,disinfected
disinflate,disinflated
disinhume,disinhumed
disject,disjected
disleave,disleaved
dismantle,dismantled
dismember,dismembered
dismembrate,dismembrated
dismettle,dismettled
disnose,disnosed
disoccupy,disoccupied
disordinate,disordinated
disorganise,disorganised
disparple,disparpled
dispatriate,dispatriated
dispensate,dispensated
dispense,dispensed
dispeople,dispeopled
disperse,dispersed
dysphemize,dysphemized
displace,displaced
displease,displeased
displume,displumed
dispose,disposed
dispraise,dispraised
disrate,disrated
disregarde,disregarded
disrelate,disrelated
disro,disrobed
disrupt,disrupted
dissave,dissaved
dissect,dissected
disseise,disseised
dissemble,dissembled
disseminat,disseminated
dissheath,dissheathed
dissyllabise,dissyllabised
dissimilate,dissimilated
dissimulate,dissimulated
dissipate,dissipated
dissociate,dissociated
dissolve,dissolved
dissuit,dissuited
distill,distilled
distress,distressed
distribute,distributed
distritbute,distritbuted
distrust,distrusted
disturb,disturbed
disunify,disunified
disuse,disused
diswarren,diswarrened
deliver,delivered
ditch,ditched
dittie,dittied
ditto,dittoed
divagate,divagated
divell,divelled
diverge,diverged
diversicolor,diversicolored
divinise,divinised
divinize,divinized
divulgate,divulgated
divulse,divulsed
divvy,divvied
dizen,dizened
dizzy,dizzied
doate,doated
dob,dobbed
dock,docked
docket,docketed
doctor,doctored
doctrinize,doctrinized
document,documented
dod,dodded
dodder,doddered
dodecahydrate,dodecahydrated
dodgast,dodgasted
dodge,dodged
doff,doffed
dogear,dogeared
doggerel,doggereled
doggerell,doggerelled
doggon,doggoned
dogheart,doghearted
dogleg,doglegged
dogmatise,dogmatised
dogmatize,dogmatized
dognape,dognaped
dognap,dognapped
paddle,paddled
dogsl,dogsled
dogtrot,dogtrotted
doil,doiled
doit,doited
doitrify,doitrified
do,doled
doll,dolled
dollface,dollfaced
dolly,dollied
dollop,dolloped
dolomitise,dolomitised
dolomitize,dolomitized
domesticize,domesticized
domicil,domiciled
domiciliate,domiciliated
dominate,dominated
domineer,domineered
donate,donated
don,donned
donner,donnered
doodle,doodled
doom,doomed
door,doored
do,doped
dop,dopped
dormer,dormered
dorsifix,dorsifixed
dos,dosed
doss,dossed
do,doted
dot,dotted
dottle,dottled
battalion,battalioned
brood,brooded
doublecross,doublecrossed
double,doubled
engine,engined
fram,framed
doublehand,doublehanded
hatch,hatched
doubleheart,doublehearted
doublehorn,doublehorned
lead,leaded
loath,loathed
doublelunge,doublelunged
mill,milled
po,pored
quirk,quirked
refin,refined
rivet,riveted
spac,spaced
starr,starred
stitch,stitched
stop,stopped
surface,surfaced
sword,sworded
double,doubleted
thread,threaded
trench,trenched
window,windowed
work,worked
doubt,doubted
douch,douched
douse,doused
dove,dovened
dovetail,dovetailed
dow,dowed
dowel,doweled
dowell,dowelled
dower,dowered
downcry,downcried
downcurve,downcurved
down,downed
downfold,downfolded
downgyve,downgyved
gyve,gyved
downgrade,downgraded
downhead,downheaded
downheart,downhearted
downlink,downlinked
download,downloaded
downlook,downlooked
downshift,downshifted
downsize,downsized
dowse,dowsed
doxologize,doxologized
doze,dozed
dozen,dozened
dozzl,dozzled
drab,drabbed
drabble,drabbled
drabbletail,drabbletailed
draft,drafted
dragad,dragaded
drag,dragged
draggle,draggled
draggletail,draggletailed
dragoon,dragooned
dray,drayed
drail,drailed
drain,drained
dramatise,dramatised
dramatize,dramatized
dram,drammed
drape,draped
drapery,draperied
drat,dratted
draught,draughted
drawbor,drawbored
drawl,drawled
dream,dreamed
haunt,haunted
dredge,dredged
dress,dressed
drib,dribbed
dribble,dribbled
drybrain,drybrained
drift,drifted
drill,drilled
drip,dripped
roast,roasted
rot,rotted
salt,salted
drive,driveled
drivell,drivelled
drive,driven
drizzl,drizzled
droll,drolled
drom,dromed
dron,droned
droole,drooled
ear,eared
droop,drooped
dropforge,dropforged
dropsy,dropsied
dross,drossed
drink,drought
parch,parched
drouk,drouked
drov,droved
drownd,drownded
drown,drowned
drowse,drowsed
drub,drubbed
drudge,drudged
drugge,drugged
drumble,drumbled
drum,drummed
druse,drused
dualize,dualized
dub,dubbed
duck,ducked
duckfoote,duckfooted
duckheart,duckhearted
ducte,ducted
ductilize,ductilized
due,dueled
duel,duelled
duet,duetted
duff,duffed
dulcify,dulcified
dull,dulled
dullheart,dullhearted
dumb,dumbed
dumbhead,dumbheaded
dummer,dummered
dummy,dummied
dump,dumpled
belt,belted
dunderhead,dunderheaded
dungbreed,dungbred
dung,dunged
dunk,dunked
dunkle,dunkled
dunnage,dunnaged
dun,dunned
rack,racked
duoton,duotoned
du,duped
duplex,duplexed
dup,dupped
du,dured
rafter,raftered
sandal,sandaled
soil,soiled
dutch,dutched
gable,gabled
duty,dutied
dwarf,dwarfed
dwell,dwelled
dwindle,dwindled
dwin,dwined
eagl,eagled
flight,flighted
sigh,sighted
earthe,earthed
engender,engendered
ease,eased
easel,easeled
pace,paced
easternize,easternized
eave,eaved
eb,ebbed
ebonise,ebonised
ebonize,ebonized
ebriate,ebriated
eburate,eburated
eburnate,eburnated
ecchymose,ecchymosed
ech,eched
echinate,echinated
echinulate,echinulated
echo,echoed
echoize,echoized
eclate,eclated
eclipse,eclipsed
economise,economised
economize,economized
ectropionize,ectropionized
edify,edified
edit,edited
educe,educed
edulcorate,edulcorated
effect,effected
effectuate,effectuated
effeminat,effeminated
effeminise,effeminised
effeminize,effeminized
effervesce,effervesced
effigiate,effigiated
effloresce,effloresced
effuse,effused
egghead,eggheaded
egotize,egotized
egress,egressed
egurgitate,egurgitated
eyeball,eyeballed
eyebridle,eyebridled
eyelet,eyeleted
angl,angled
ejaculate,ejaculated
eject,ejected
elaborate,elaborated
elapse,elapsed
elate,elated
heat,heated
electrify,electrified
electrize,electrized
electrocute,electrocuted
electrofuse,electrofused
electrolyse,electrolysed
electrophorese,electrophoresed
electroplate,electroplated
elegise,elegised
elegize,elegized
elevate,elevated
elicit,elicited
eliminate,eliminated
elinguate,elinguated
eliquate,eliquated
elix,elixed
eloign,eloigned
elongate,elongated
eluate,eluated
elucidate,elucidated
elumbate,elumbated
elute,eluted
elutriate,elutriated
eluviate,eluviated
emacerate,emacerated
emaciate,emaciated
email,emailed
emanate,emanated
emancipate,emancipated
emarginate,emarginated
emasculate,emasculated
emblematise,emblematised
embryonate,embryonated
embrittle,embrittled
embroil,embroiled
emendate,emendated
emmarble,emmarbled
emotionalise,emotionalised
empal,empaled
empeople,empeopled
emphasise,emphasised
emplace,emplaced
own,owned
empty,emptied
panel,paneled
stomach,stomached
empurple,empurpled
emulate,emulated
emulsify,emulsified
emusify,emusified
enarch,enarched
encapsulate,encapsulated
encapsule,encapsuled
encarnalise,encarnalised
encase,encased
encash,encashed
encharge,encharged
enchase,enchased
enclose,enclosed
encroach,encroached
energise,energised
enervate,enervated
enfil,enfiled
enflam,enflamed
enforce,enforced
enfram,enframed
enfranchise,enfranchised
enghost,enghosted
engoule,engouled
engrail,engrailed
engross,engrossed
enhance,enhanced
enisl,enisled
enlace,enlaced
enlist,enlisted
enliven,enlivened
enmarble,enmarbled
enmesh,enmeshed
ennoble,ennobled
enrapt,enrapted
enravish,enravished
enrich,enriched
enrol,enrolled
enscroll,enscrolled
ensheath,ensheathed
ensign,ensigned
ensil,ensiled
ensnarl,ensnarled
ensorcel,ensorceled
ensoule,ensouled
enswath,enswathed
entablature,entablatured
entail,entailed
entangle,entangled
enter,entered
enthrall,enthralled
enthronise,enthronised
enthronize,enthronized
enthuse,enthused
entice,enticed
entitle,entitled
entoil,entoiled
entomb,entombed
entomologise,entomologised
entomologize,entomologized
entreate,entreated
entrench,entrenched
entrust,entrusted
enumerate,enumerated
enunciate,enunciated
envenom,envenomed
enweave,enweaved
enwheel,enwheeled
enworth,enworthed
enwreath,enwreathed
epaulet,epauleted
epigrammatise,epigrammatised
epigrammatize,epigrammatized
epilate,epilated
epilogize,epilogized
epimerise,epimerised
epimerize,epimerized
epiphanise,epiphanised
epiphanize,epiphanized
episcopise,episcopised
episcopize,episcopized
epistolise,epistolised
epistolize,epistolized
epitomise,epitomised
epitomize,epitomized
epoxy,epoxied
equal,equaled
equalise,equalised
equalize,equalized
equall,equalled
equate,equated
equiax,equiaxed
equibalance,equibalanced
equilibrate,equilibrated
equilo,equilobed
equip,equiped
equipoise,equipoised
equiponderate,equiponderated
equip,equipped
equisegment,equisegmented
equisize,equisized
equispace,equispaced
equivalence,equivalenced
equivalve,equivalved
equivocate,equivocated
eradiate,eradiated
erase,erased
erect,erected
ergotize,ergotized
erotize,erotized
eructate,eructated
eruct,eructed
erupt,erupted
escalad,escaladed
escalate,escalated
escartel,escarteled
escheate,escheated
eschew,eschewed
escort,escorted
escote,escoted
escribe,escribed
escutcheon,escutcheoned
espy,espied
espouse,espoused
esquire,esquired
ess,essed
essentialize,essentialized
essoin,essoined
establish,established
estafet,estafetted
estate,estated
esteem,esteemed
esterify,esterified
estimate,estimated
estivate,estivated
estray,estrayed
estrange,estranged
estreate,estreated
etch,etched
eternalise,eternalised
eternalize,eternalized
eternise,eternised
eternize,eternized
etherealise,etherealised
etherialise,etherialised
etherialize,etherialized
etherify,etherified
etherize,etherized
ethylate,ethylated
etymologise,etymologised
etymologize,etymologized
etiolate,etiolated
ettle,ettled
eucharistize,eucharistized
euhemerise,euhemerised
euhemerize,euhemerized
eulogise,eulogised
eulogize,eulogized
eunuchise,eunuchised
eunuchize,eunuchized
euphemise,euphemised
euphemize,euphemized
euphonise,euphonised
euphonize,euphonized
euphuize,euphuized
evacuate,evacuated
evad,evaded
evaginate,evaginated
evaluate,evaluated
evanesce,evanesced
evangelise,evangelised
evanish,evanished
evaporate,evaporated
evect,evected
eve,evened
evenhand,evenhanded
pa,paged
pleach,pleached
temper,tempered
tenor,tenored
eventuate,eventuated
waye,wayed
evere,evered
evict,evicted
favore,favored
favour,favoured
fortune,fortuned
get,gotten
evilmouth,evilmouthed
quality,qualitied
savor,savored
thew,thewed
weapon,weaponed
eviscerate,eviscerated
evit,evited
evolve,evolved
exaggerate,exaggerated
examine,examined
exampl,exampled
exasperate,exasperated
excavate,excavated
exceed,exceeded
excel,excelled
accept,excepted
excerpt,excerpted
excess,excessed
excise,excised
excyst,excysted
exclaim,exclaimed
excogitate,excogitated
excoriate,excoriated
excret,excreted
excruciate,excruciated
exculpate,exculpated
excurse,excursed
excurvate,excurvated
excurve,excurved
excuse,excused
excuss,excussed
execrate,execrated
exemplify,exemplified
exempt,exempted
exenterate,exenterated
exercise,exercised
exfoliate,exfoliated
exhal,exhaled
exhaust,exhausted
exhibit,exhibited
exhilarate,exhilarated
exhumate,exhumated
exhume,exhumed
exil,exiled
exist,existed
exite,exited
exoculate,exoculated
exonerate,exonerated
exorcise,exorcised
exorcize,exorcized
exostose,exostosed
expand,expanded
expatiate,expatiated
expatriate,expatriated
expeditate,expeditated
expedite,expedited
expense,expensed
expertise,expertised
expiate,expiated
exploit,exploited
exponentiate,exponentiated
export,exported
expose,exposed
exposit,exposited
expostulate,expostulated
express,expressed
expropriate,expropriated
expulse,expulsed
expurgate,expurgated
exsanguinate,exsanguinated
exsect,exsected
exsolve,exsolved
extemporise,extemporised
extemporize,extemporized
extend,extended
extenuate,extenuated
exteriorise,exteriorised
exteriorize,exteriorized
exterminate,exterminated
externalise,externalised
externalize,externalized
extinct,extincted
extinguise,extinguised
extirpate,extirpated
extol,extoled
extoll,extolled
extort,extorted
extracondense,extracondensed
extraconstellate,extraconstellated
extract,extracted
extradict,extradicted
extradit,extradited
extradose,extradosed
extrapolate,extrapolated
extrar,extrared
extravagate,extravagated
extravasate,extravasated
extravert,extraverted
extrovert,extroverted
exuberate,exuberated
exulcerate,exulcerated
exult,exulted
exuviate,exuviated
fable,fabled
facad,facaded
face,faceted
facilitate,facilitated
facsimil,facsimiled
factor,factored
factorize,factorized
facultie,facultied
fadge,fadged
fag,fagged
faggote,faggoted
fagote,fagoted
rule,ruled
warble,warbled
repute,reputed
trad,traded
faithe,faithed
falcate,falcated
falseheart,falsehearted
plight,plighted
principl,principled
purchase,purchased
visor,visored
falsify,falsified
fam,famed
fanaticise,fanaticised
fanaticize,fanaticized
fancie,fancied
raise,raised
fangle,fangled
fanion,fanioned
pleate,pleated
fantail,fantailed
fantasy,fantasied
fantasize,fantasized
faradise,faradised
faradize,faradized
farce,farced
farcy,farcied
far,farded
farewell,farewelled
farfetch,farfetched
flow,flown
foam,foamed
horizon,horizoned
far,farmed
parte,parted
remove,removed
farstep,farstepped
stretch,stretched
travel,traveled
farwelter,farweltered
fasciate,fasciated
fascicle,fascicled
fasciculate,fasciculated
fascinate,fascinated
fetter,fettered
fast,fasted
fasten,fastened
fastigate,fastigated
fastigiate,fastigiated
tie,tied
plot,plotted
environ,environed
furrow,furrowed
menace,menaced
fathead,fatheaded
fathom,fathomed
fatigate,fatigated
paunch,paunched
fatt,fatted
fatten,fattened
fault,faulted
faunate,faunated
faure,faured
fawn,fawned
fax,faxed
faze,fazed
break,broken
palsy,palsied
pursue,pursued
fease,feased
feast,feasted
feather,featherbed
featherbed,featherbedded
featherhead,featherheaded
featherpate,featherpated
weight,weighted
feaze,feazed
fecundate,fecundated
federalise,federalised
federalize,federalized
federate,federated
feeblebrain,feeblebrained
feebleheart,feeblehearted
feeblemind,feebleminded
feed,feeded
feeze,feezed
feign,feigned
feint,feinted
felicitate,felicitated
fellate,fellated
felle,felled
fellowship,fellowshipped
felte,felted
feel,felt
jacket,jacketed
feminise,feminised
feminize,feminized
fenagle,fenagled
fence,fenced
fenestrate,fenestrated
suck,sucked
feoff,feoffed
ferly,ferlied
ferment,fermented
thatch,thatched
ferntickle,ferntickled
ferrate,ferrated
ferrel,ferreled
ferrell,ferrelled
ferret,ferreted
ferry,ferried
ferroty,ferrotyped
ferruginate,ferruginated
ferrule,ferruled
ferruminate,ferruminated
fertilise,fertilised
fertilize,fertilized
ferule,feruled
fess,fessed
fester,festered
festinate,festinated
festoon,festooned
fet,feted
fet,fetted
fettle,fettled
feudalise,feudalised
feudalize,feudalized
feue,feued
madden,maddened
weaken,weakened
see,seeded
fezze,fezzed
fiance,fianced
fib,fibbed
fiberize,fiberized
fibreed,fibred
fibrilate,fibrilated
fibrillate,fibrillated
fibrill,fibrilled
fibronucleate,fibronucleated
fictionalize,fictionalized
fictionise,fictionised
fictionize,fictionized
fid,fidded
fiddlebrain,fiddlebrained
fiddle,fiddled
fiddleface,fiddlefaced
faddle,faddled
flanke,flanked
fiddlehead,fiddleheaded
fidge,fidged
fidget,fidgeted
fy,fied
field,fielded
stripp,stripped
nature,natured
fiercen,fiercened
helm,helmed
kindle,kindled
fif,fifed
fig,figged
figulate,figulated
filament,filamented
filch,filched
file,filed
file,fileted
filiate,filiated
filiform,filiformed
filigrain,filigrained
filigran,filigraned
film,filmed
filmize,filmized
filter,filtered
filthify,filthified
filtrate,filtrated
fimbriate,fimbriated
finagle,finagled
finaliz,finalized
financ,financed
finch,finched
fine,fined
fleece,fleeced
grad,graded
sift,sifted
finess,finessed
tricke,tricked
fox,foxed
fingerprint,fingerprinted
finial,finialed
finish,finished
fink,finked
fiord,fiorded
firearm,firearmed
fireb,firebed
firebolt,firebolted
firebomb,firebombed
gild,gilded
pit,pitted
fireproof,fireproofed
ro,robed
scath,scathed
seam,seamed
fire-warm,fire-warmed
brace,braced
firm,firmed
plant,planted
beget,begotten
first-form,first-formed
fiscalize,fiscalized
fish,fishbed
fish,fished
fishify,fishified
fishtail,fishtailed
fission,fissioned
fissure,fissured
fistulate,fistulated
fistulize,fistulized
fitch,fitched
fitify,fitified
fittyfy,fittyfied
foil,foiled
valve,valved
fixate,fixated
fizze,fizzed
fizzl,fizzled
fjelst,fjelsted
fjord,fjorded
flabbergast,flabbergasted
flabellinerve,flabellinerved
flagellate,flagellated
flag,flagged
flaggelate,flaggelated
flail,flailed
flam,flamed
uplift,uplifted
flam,flammed
flammulate,flammulated
flanch,flanched
flannel,flanneled
flannell,flannelled
flannelmouth,flannelmouthed
flapmouth,flapmouthed
flash,flashed
flatb,flatbed
flate,flated
floor,floored
flatfoote,flatfooted
hat,hatted
flatt,flatted
flatten,flattened
flaughtbreed,flaughtbred
flaunch,flaunched
flavor,flavored
lug,lugged
fleckle,fleckled
f,fled
fledge,fledged
fleech,fleeched
fleete,fleeted
fley,fleyed
flemish,flemished
flench,flenched
flense,flensed
fletch,fletched
fletcherise,fletcherised
fletcherize,fletcherized
flex,flexed
flichter,flichtered
flie,flied
flig,fligged
flimflam,flimflammed
flinch,flinched
flint,flinted
flintify,flintified
flip,flipped
spleckle,spleckled
swarm,swarmed
flitch,flitched
flit,flited
flyt,flyted
flit,flitted
float,floated
flocce,flocced
flocculate,flocculated
flock,flockbed
flog,flogged
floode,flooded
floodlight,floodlighted
floppe,flopped
floreate,floreated
floret,floreted
floriate,floriated
floss,flossed
flounce,flounced
flourish,flourished
floute,flouted
embroider,embroidered
enamel,enameled
kirtle,kirtled
sprinkle,sprinkled
rob,robed
flub,flubbed
fluctuate,fluctuated
fluff,fluffed
fluidify,fluidified
fluidise,fluidised
fluidize,fluidized
flume,flumed
flummox,flummoxed
fluorate,fluorated
fluoresce,fluoresced
fluoridate,fluoridated
fluoridise,fluoridised
fluoridize,fluoridized
fluorinate,fluorinated
flush,flushed
flustrate,flustrated
flute,fluted
flux,fluxed
foal,foaled
fob,fobbed
focalise,focalised
focalize,focalized
focuss,focussed
fodder,foddered
encompass,encompassed
reap,reaped
fog,fogged
hide,hidden
logge,logged
foin,foined
foist,foisted
foliage,foliaged
foliate,foliated
folio,folioed
folliculate,folliculated
folly,follied
snar,snared
foment,fomented
fonde,fonded
fondle,fondled
font,fonted
fool,fooled
foolhead,foolheaded
footle,footled
footnote,footnoted
footslog,footslogged
foozl,foozled
forage,foraged
foray,forayed
foraminate,foraminated
forbar,forbarred
forble,forbled
forbod,forboded
close,closed
forc,forced
forcipate,forcipated
for,forded
fordize,fordized
allege,alleged
forearm,forearmed
forebemoan,forebemoaned
forebod,foreboded
forecaste,forecasted
forecit,forecited
foreclose,foreclosed
foredate,foredated
foredefeate,foredefeated
foredeserve,foredeserved
foredestin,foredestined
foredevise,foredevised
foredoom,foredoomed
foreglimpse,foreglimpsed
forehand,forehanded
forehead,foreheaded
foreimpress,foreimpressed
foreinclin,foreinclined
forejudge,forejudged
forenam,forenamed
forenote,forenoted
foreordinate,foreordinated
forepal,forepaled
forepol,forepoled
forepossess,forepossessed
forepromise,forepromised
forequote,forequoted
forerecit,forerecited
forerehearse,forerehearsed
foresettle,foresettled
foreshorten,foreshortened
foresight,foresighted
forespecify,forespecified
forestall,forestalled
forethought,forethoughted
foretim,foretimed
foretypify,foretypified
foretoken,foretokened
forevouch,forevouched
vouch,vouched
forfeit,forfeited
for,forged
forjudge,forjudged
fork,forked
prong,pronged
tin,tined
formalise,formalised
formalize,formalized
formate,formated
formatte,formatted
formylate,formylated
formularise,formularised
formularize,formularized
formulate,formulated
formulise,formulised
formulize,formulized
forpin,forpined
fortax,fortaxed
fortify,fortified
fortress,fortressed
fortuune,fortuuned
forweary,forwearied
foss,fossed
fossick,fossicked
fossify,fossified
fossilate,fossilated
fossil,fossiled
fossilise,fossilised
fossilize,fossilized
foster,fostered
fotch,fotched
fight,fought
foule,fouled
foulmind,foulminded
foulmouth,foulmouthed
foundation,foundationed
found,founded
founder,foundered
fountain,fountained
cylinder,cylindered
fourhand,fourhanded
mast,masted
oar,oared
post,posted
row,rowed
spine,spined
story,storied
strand,stranded
foveate,foveated
foveolate,foveolated
fowl,fowled
fur,furred
foxtail,foxtailed
trot,trotted
fract,fracted
fractionalize,fractionalized
fractionate,fractionated
fraction,fractioned
fractionise,fractionised
fractionize,fractionized
fracture,fractured
frag,fragged
fragment,fragmented
fragmentise,fragmentised
fragmentize,fragmentized
fraise,fraised
franchise,franchised
frank,franked
frankheart,frankhearted
frankincense,frankincensed
frap,frapped
fratche,fratched
fraternise,fraternised
fraternize,fraternized
fraze,frazed
frazzl,frazzled
freak,freaked
freck,frecked
frecken,freckened
freckle,freckled
freeboote,freebooted
freehand,freehanded
freeheart,freehearted
freeload,freeloaded
freeze,freezed
french,frenched
frenzy,frenzied
modulate,modulated
fresco,frescoed
freshen,freshened
freshheart,freshhearted
kill,killed
slaughter,slaughtered
watere,watered
fret,fretted
fribble,fribbled
frictionize,frictionized
fry,fried
friend,friended
frieze,friezed
frig,frigged
frightene,frightened
frill,frilled
fringe,fringed
frit,fritted
fritter,frittered
frivol,frivoled
frivolize,frivolized
frivoll,frivolled
frize,frized
frizze,frizzed
frizzl,frizzled
frock,frocked
frogey,frogeyed
frog,frogged
frolick,frolicked
frond,fronded
frondesce,frondesced
frontispiece,frontispieced
cheque,chequered
froste,frosted
frostnip,frostnipped
becurl,becurled
froth,frothed
frot,frotted
frounce,frounced
frown,frowned
frowst,frowsted
frowzl,frowzled
frozenheart,frozenhearted
fruct,fructed
frug,frugged
frumple,frumpled
fub,fubbed
fuck,fucked
fucuse,fucused
fuddle,fuddled
fudge,fudged
fuel,fuelled
fug,fugged
fugitate,fugitated
fugle,fugled
fugue,fugued
fulcrume,fulcrumed
fulfil,fulfilled
fulgurate,fulgurated
fullbody,fullbodied
bole,boled
digest,digested
distend,distended
full,fulled
exert,exerted
flock,flocked
gorge,gorged
happinesse,happinessed
haunch,haunched
fullheart,fullhearted
jewele,jeweled
levele,leveled
measure,measured
fullmouth,fullmouthed
panoply,panoplied
person,personed
proportion,proportioned
ripen,ripened
ro,roed
sail,sailed
sphere,sphered
strain,strained
stream,streamed
stuff,stuffed
sum,summed
trim,trimmed
tush,tushed
volume,volumed
whisker,whiskered
fulminate,fulminated
fumble,fumbled
fume,fumed
fumigate,fumigated
funambulate,funambulated
functionalize,functionalized
functionate,functionated
fund,funded
fungate,fungated
funguse,fungused
funk,funked
funnel,funneled
funnel,funnelled
furbish,furbished
furcate,furcated
gowne,gowned
fury,furied
furl,furled
furlough,furloughed
furnace,furnaced
furnish,furnished
furze,furzed
fuse,fused
fusilad,fusiladed
fusillad,fusilladed
fuss,fussed
fustigate,fustigated
futze,futzed
fuze,fuzed
fuzze,fuzzed
gab,gabbed
gabble,gabbled
gaff,gaffed
gaggle,gaggled
reine,reined
thron,throned
galeate,galeated
gallicise,gallicised
gally,gallied
galluse,gallused
galosh,galoshed
galumph,galumphed
galvanise,galvanised
galvanize,galvanized
gamble,gambled
gamboise,gamboised
gambol,gamboled
gamboll,gambolled
gambrel,gambreled
gambrell,gambrelled
game,gamed
gamm,gammed
ganch,ganched
gangliate,gangliated
ganglionate,ganglionated
gangren,gangrened
gaol,gaoled
gar,garbed
garble,garbled
gardene,gardened
gargle,gargled
gargoyle,gargoyled
garnish,garnished
garret,garreted
garrison,garrisoned
gash,gashed
gasify,gasified
gaslight,gaslighted
operate,operated
gastrulate,gastrulated
gaume,gaumed
g,ged
gelate,gelated
gelatinate,gelatinated
gelatin,gelatined
gelatinise,gelatinised
gelatinize,gelatinized
gel,gelded
gel,gelled
gemel,gemeled
gemell,gemelled
geminate,geminated
gemmate,gemmated
gem,gemmed
genap,genapped
generalise,generalised
generalize,generalized
generate,generated
geniculate,geniculated
gentle,gentled
gentleheart,gentlehearted
gentlemouth,gentlemouthed
genuflect,genuflected
geographize,geographized
geologise,geologised
geologize,geologized
geometrise,geometrised
geometrize,geometrized
gerate,gerated
germanise,germanised
germanize,germanized
germinate,germinated
gesso,gessoed
gestate,gestated
gest,gested
gesticulate,gesticulated
gesture,gestured
gewgaw,gewgawed
gherao,gheraoed
ghetto,ghettoed
ghettoize,ghettoized
ghost,ghosted
ghostify,ghostified
gib,gibbed
gibbet,gibbeted
gibbet,gibbetted
gibble,gibbled
gi,gibed
gy,gybed
giddy,giddied
gi,gied
gift,gifted
gig,gigged
gill,gilled
gilly,gillied
