[noun]
ability,abilities
chapter,chapters
character,characters
charge,charges
charity,charities
chart,charts
check,checks
cheek,cheeks
chemical,chemicals
chemistry,chemistries
chest,chests
chicken,chickens
child,children
childhood,childhoods
chip,chips
chocolate,chocolates
choice,choices
church,churches
cigarette,cigarettes
city,cities
claim,claims
class,classes
classic,classics
classroom,classrooms
clerk,clerks
click,clicks
client,clients
climate,climates
clock,clocks
closet,closets
clothes,clotheses
cloud,clouds
club,clubs
clue,clues
coach,coaches
coast,coasts
coat,coats
code,codes
coffee,coffees
cold,colds
collar,collars
collection,collectia
college,colleges
combination,combinatia
combine,combines
comfort,comforts
comfortable,comfortables
command,commands
comment,comments
commercial,commercials
commission,commissia
committee,committees
common,comma
communication,communicatia
community,communities
company,companies
comparison,comparisa
competition,competitia
complaint,complaints
complex,complexes
computer,computers
concentrate,concentrates
concept,concepts
concern,concerns
concert,concerts
conclusion,conclusia
condition,conditia
conference,conferences
confidence,confidences
conflict,conflicts
confusion,confusia
connection,connectia
consequence,consequences
consideration,consideratia
consist,consists
constant,constants
construction,constructia
contact,contacts
contest,contests
context,contexts
contract,contracts
contribution,contributia
control,controls
conversation,conversatia
convert,converts
cook,cooks
cookie,cookies
copy,copies
corner,corners
cost,costs
count,counts
counter,counters
country,countries
county,counties
couple,couples
courage,courages
course,courses
court,courts
cousin,cousins
cover,covers
cow,cows
crack,cracks
craft,crafts
crash,crashes
crazy,crazies
cream,creams
creative,creatives
credit,credits
crew,crews
criticism,criticisms
cross,crosses
cry,cries
culture,cultures
cup,cups
currency,currencies
current,currents
curve,curves
customer,customers
cut,cuts
cycle,cycles
dad,dads
damage,damages
dance,dances
dare,dares
dark,darks
data,datas
database,databases
date,dates
daughter,daughters
day,days
dead,deads
deal,deals
dealer,dealers
dear,dears
death,deaths
debate,debates
debt,debts
decision,decisia
deep,deeps
definition,definitia
degree,degrees
delay,delays
delivery,deliveries
demand,demands
department,departments
departure,departures
dependent,dependents
deposit,deposits
depression,depressia
depth,depths
description,descriptia
design,designs
designer,designers
desire,desires
desk,desks
detail,details
development,developments
device,devices
devil,devils
diamond,diamonds
diet,diets
difference,differences
difficulty,difficulties
dig,digs
dimension,dimensia
dinner,dinners
direction,directia
director,directors
dirt,dirts
disaster,disasters
discipline,disciplines
discount,discounts
discussion,discussia
disease,diseases
dish,dishes
disk,disks
display,displays
distance,distances
distribution,distributia
district,districts
divide,divides
doctor,doctors
document,documents
dog,dogs
door,doors
dot,dots
double,doubles
doubt,doubts
draft,drafts
drag,drags
drama,dramas
draw,draws
drawer,drawers
drawing,drawings
dream,dreams
dress,dresses
drink,drinks
drive,drives
driver,drivers
drop,drops
drunk,drunks
due,dues
dump,dumps
dust,dusts
duty,duties
ear,ears
earth,earths
ease,eases
east,easts
eat,eats
economics,economicses
economy,economies
edge,edges
editor,editors
education,educatia
effect,effects
effective,effectives
efficiency,efficiencies
effort,efforts
egg,eggs
election,electia
elevator,elevators
emergency,emergencies
emotion,emotia
emphasis,emphases
employ,employs
employee,employees
employer,employers
employment,employments
end,ends
energy,energies
engine,engines
engineer,engineers
engineering,engineerings
entertainment,entertainments
enthusiasm,enthusiasms
entrance,entrances
entry,entries
environment,environments
equal,equals
equipment,equipments
equivalent,equivalents
error,errors
escape,escapes
essay,essays
establishment,establishments
estate,estates
estimate,estimates
evening,evenings
event,events
evidence,evidences
exam,exams
examination,examinatia
example,examples
exchange,exchanges
excitement,excitements
excuse,excuses
exercise,exercises
existence,existences
exit,exits
experience,experiences
expert,experts
explanation,explanatia
expression,expressia
extension,extensia
extent,extents
external,externals
extreme,extremes
eye,eyes
face,faces
fact,facts
factor,factors
fail,fails
failure,failures
fall,falls
familiar,familiars
family,families
fan,fans
farm,farms
farmer,farmers
fat,fats
father,fathers
fault,faults
fear,fears
feature,features
fee,fees
feed,feeds
feedback,feedbacks
feel,feels
feeling,feelings
female,females
few,fews
field,fields
fight,fights
figure,figures
file,files
fill,fills
film,films
final,finals
finance,finances
finding,findings
finger,fingers
finish,finishes
fire,fires
fish,fishes
fishing,fishings
fix,fixes
flight,flights
floor,floors
flow,flows
flower,flowers
fly,flies
focus,foci
fold,folds
following,followings
food,foods
foot,feet
football,footballs
force,forces
forever,forevers
form,forms
formal,formals
fortune,fortunes
foundation,foundatia
frame,frames
freedom,freedoms
friend,friends
friendship,friendships
front,fronts
fruit,fruits
fuel,fuels
fun,funs
function,functia
funeral,funerals
funny,funnies
future,futures
gain,gains
game,games
gap,gaps
garage,garages
garbage,garbages
garden,gardens
gas,gasses
gate,gates
gather,gathers
gear,gears
gene,genes
general,generals
gift,gifts
girl,girls
girlfriend,girlfriends
give,gives
glad,glads
glass,glasses
glove,gloves
go,goes
goal,goals
god,gods
gold,golds
golf,golves
good,goods
government,governments
grab,grabs
grade,grades
grand,grands
grandfather,grandfathers
grandmother,grandmothers
grass,grasses
great,greats
green,greens
grocery,groceries
ground,grounds
group,groups
growth,growths
guarantee,guarantees
guard,guards
guess,guesses
guest,guests
guidance,guidances
guide,guides
guitar,guitars
guy,guys
habit,habits
hair,hairs
half,halves
hall,halls
hand,hands
handle,handles
hang,hangs
harm,harms
hat,hats
hate,hates
head,heads
health,healths
hearing,hearings
heart,hearts
heat,heats
heavy,heavies
height,heights
hell,hells
hello,helloes
help,helps
hide,hides
high,highs
highlight,highlights
highway,highways
hire,hires
historian,historians
history,histories
hit,hits
hold,holds
hole,holes
holiday,holidays
home,homes
homework,homeworks
honey,honeys
hook,hooks
hope,hopes
horror,horrors
horse,horses
hospital,hospitals
host,hosts
hotel,hotels
hour,hours
house,houses
housing,housings
human,humans
hunt,hunts
hurry,hurries
hurt,hurts
husband,husbands
ice,ices
idea,ideas
ideal,ideals
if,ives
illegal,illegals
image,images
imagination,imaginatia
impact,impacts
implement,implements
importance,importances
impress,impresses
impression,impressia
improvement,improvements
inaction,inactia
incident,incidents
income,incomes
increase,increases
independence,independences
independent,independents
indication,indicatia
individual,individuals
industry,industries
inevitable,inevitables
inflation,inflatia
influence,influences
information,informatia
initial,initials
initiative,initiatives
injury,injuries
insect,insects
inside,insides
inspection,inspectia
inspector,inspectors
instance,instances
instruction,instructia
insurance,insurances
intention,intentia
interaction,interactia
interest,interests
internal,internals
international,internationals
internet,internets
interview,interviews
introduction,introductia
investment,investments
invite,invites
iron,ira
island,islands
issue,issues
it,its
item,items
jacket,jackets
job,jobs
join,joins
joint,joints
joke,jokes
judge,judges
judgment,judgments
juice,juices
jump,jumps
junior,juniors
jury,juries
keep,keeps
key,keys
kick,kicks
kid,kids
kill,kills
kind,kinds
king,kings
kiss,kisses
kitchen,kitchens
knee,knees
knife,knives
knowledge,knowledges
lab,labs
lack,lacks
ladder,ladders
lady,ladies
lake,lakes
land,lands
landscape,landscapes
language,languages
laugh,laughs
law,laws
lawyer,lawyers
lay,lays
layer,layers
lead,leads
leader,leaders
leadership,leaderships
leading,leadings
league,leagues
leather,leathers
leave,leaves
lecture,lectures
leg,legs
length,lengths
lesson,lessa
let,lets
letter,letters
level,levels
library,libraries
lie,lies
life,lives
lift,lifts
light,lights
limit,limits
line,lines
link,links
lip,lips
list,lists
listen,listens
literature,literatures
living,livings
load,loads
loan,loans
local,locals
location,locatia
lock,locks
log,logs
long,longs
look,looks
loss,losses
love,loves
low,lows
luck,lucks
lunch,lunches
machine,machines
magazine,magazines
mail,mails
main,mains
maintenance,maintenances
major,majors
make,makes
male,males
mall,malls
man,men
management,managements
manager,managers
manner,manners
manufacturer,manufacturers
many,manies
map,maps
march,marches
mark,marks
market,markets
marketing,marketings
marriage,marriages
master,masters
match,matches
mate,mates
material,materials
math,maths
matter,matters
maximum,maximums
maybe,maybes
meal,meals
meaning,meanings
measurement,measurements
meat,meats
media,medias
medicine,medicines
medium,mediums
meet,meets
meeting,meetings
member,members
membership,memberships
memory,memories
mention,mentia
menu,menus
mess,messes
message,messages
metal,metals
method,methods
middle,middles
midnight,midnights
might,mights
milk,milks
mind,minds
mine,mines
minimum,minimums
minor,minors
minute,minutes
mirror,mirrors
miss,misses
mission,missia
mistake,mistakes
mix,mixes
mixture,mixtures
mobile,mobiles
mode,modes
model,models
mom,moms
moment,moments
money,moneys
monitor,monitors
month,months
mood,moods
morning,mornings
mortgage,mortgages
most,mosts
mother,mothers
motor,motors
mountain,mountains
mouse,mice
mouth,mouths
move,moves
movie,movies
mud,muds
muscle,muscles
music,musics
nail,nails
name,names
nasty,nasties
nation,natia
national,nationals
native,natives
natural,naturals
nature,natures
neat,neats
necessary,necessaries
neck,necks
negative,negatives
negotiation,negotiatia
nerve,nerves
net,nets
network,networks
news,newses
newspaper,newspapers
night,nights
nobody,nobodies
noise,noises
normal,normals
north,norths
nose,noses
note,notes
nothing,nothings
notice,notices
novel,novels
number,numbers
nurse,nurses
object,objects
objective,objectives
obligation,obligatia
occasion,occasia
offer,offers
office,offices
officer,officers
official,officials
oil,oils
one,ones
opening,openings
operation,operatia
opinion,opinia
opportunity,opportunities
opposite,opposites
option,optia
orange,oranges
order,orders
ordinary,ordinaries
organization,organizatia
original,originals
other,others
outcome,outcomes
outside,outsides
oven,ovens
owner,owners
pace,paces
pack,packs
package,packages
page,pages
pain,pains
paint,paints
painting,paintings
pair,pairs
panic,panics
paper,papers
parent,parents
park,parks
parking,parkings
part,parts
particular,particulars
partner,partners
party,parties
pass,passes
passage,passages
passenger,passengers
passion,passia
past,pasts
path,paths
patience,patiences
patient,patients
pattern,patterns
pause,pauses
pay,pays
payment,payments
peace,peaces
peak,peaks
pen,pens
penalty,penalties
pension,pensia
people,peoples
percentage,percentages
perception,perceptia
performance,performances
period,periods
permission,permissia
permit,permits
person,people
personal,personals
personality,personalities
perspective,perspectives
phase,phases
philosophy,philosophies
phone,phones
photo,photos
phrase,phrases
physical,physicals
physics,physicses
piano,pianos
pick,picks
picture,pictures
pie,pies
piece,pieces
pin,pins
pipe,pipes
pitch,pitches
pizza,pizzas
place,places
plan,plans
plane,planes
plant,plants
plastic,plastics
plate,plates
platform,platforms
play,plays
player,players
pleasure,pleasures
plenty,plenties
poem,poems
poet,poets
poetry,poetries
point,points
police,polices
policy,policies
politics,politicses
pollution,pollutia
pool,pools
pop,pops
population,populatia
position,positia
positive,positives
possession,possessia
possibility,possibilities
possible,possibles
post,posts
pot,pots
potato,potatoes
potential,potentials
pound,pounds
power,powers
practice,practices
preference,preferences
preparation,preparatia
presence,presences
present,presents
presentation,presentatia
president,presidents
press,presses
pressure,pressures
price,prices
pride,prides
priest,priests
primary,primaries
principle,principles
print,prints
prior,priors
priority,priorities
private,privates
prize,prizes
problem,problems
procedure,procedures
process,processes
produce,produces
product,products
profession,professia
professional,professionals
professor,professors
profile,profiles
profit,profits
program,programs
progress,progresses
project,projects
promise,promises
promotion,promotia
prompt,prompts
proof,prooves
property,properties
proposal,proposals
protection,protectia
psychology,psychologies
public,publics
pull,pulls
punch,punches
purchase,purchases
purple,purples
purpose,purposes
push,pushes
put,puts
quality,qualities
quantity,quantities
quarter,quarters
queen,queens
question,questia
quiet,quiets
quit,quits
quote,quotes
race,races
radio,radioes
rain,rains
raise,raises
range,ranges
rate,rates
ratio,ratioes
raw,raws
reach,reaches
reaction,reactia
read,reads
reading,readings
reality,realities
reason,reasa
reception,receptia
recipe,recipes
recognition,recognitia
recommendation,recommendatia
record,records
recording,recordings
recover,recovers
red,reds
reference,references
reflection,reflectia
refrigerator,refrigerators
refuse,refuses
region,regia
register,registers
regret,regrets
regular,regulars
relation,relatia
relationship,relationships
relative,relatives
release,releases
relief,relieves
remote,remotes
remove,removes
rent,rents
repair,repairs
repeat,repeats
replacement,replacements
reply,replies
report,reports
representative,representatives
republic,republics
reputation,reputatia
request,requests
requirement,requirements
research,researches
reserve,reserves
resident,residents
resist,resists
resolution,resolutia
resolve,resolves
resort,resorts
resource,resources
respect,respects
respond,responds
response,responses
responsibility,responsibilities
rest,rests
restaurant,restaurants
result,results
return,returns
reveal,reveals
revenue,revenues
review,reviews
revolution,revolutia
reward,rewards
rice,rices
rich,riches
ride,rides
ring,rings
rip,rips
rise,rises
risk,risks
river,rivers
road,roads
robot,robots
rock,rocks
role,roles
roll,rolls
roof,roofs
room,rooms
rope,ropes
rough,roughs
round,rounds
routine,routines
row,rows
royal,royals
rub,rubs
ruin,ruins
rule,rules
run,runs
rush,rushes
sad,sads
safe,saves
safety,safeties
sail,sails
salad,salads
salary,salaries
sale,sales
salt,salts
sample,samples
sand,sands
sandwich,sandwiches
satisfaction,satisfactia
save,saves
savings,savingses
scale,scales
scene,scenes
schedule,schedules
scheme,schemes
school,schools
science,sciences
score,scores
scratch,scratches
screen,screens
screw,screws
script,scripts
sea,seas
search,searches
season,seasa
seat,seats
second,seconds
secret,secrets
secretary,secretaries
section,sectia
sector,sectors
security,securities
selection,selectia
self,selves
sell,sells
senior,seniors
sense,senses
sensitive,sensitives
sentence,sentences
series,series
serve,serves
service,services
session,sessia
set,sets
setting,settings
sex,sexes
shake,shakes
shame,shames
shape,shapes
share,shares
she,shes
shelter,shelters
shift,shifts
shine,shines
ship,ships
shirt,shirts
shock,shocks
shoe,shoes
shoot,shoots
shop,shops
shopping,shoppings
shot,shots
shoulder,shoulders
show,shows
shower,showers
sick,sicks
side,sides
sign,signs
signal,signals
signature,signatures
significance,significances
silly,sillies
silver,silvers
simple,simples
sing,sings
singer,singers
single,singles
sink,sinks
sir,sirs
sister,sisters
site,sites
situation,situatia
size,sizes
skill,skills
skin,skins
skirt,skirts
sky,skies
sleep,sleeps
slice,slices
slide,slides
slip,slips
smell,smells
smile,smiles
smoke,smokes
snow,snows
society,societies
sock,socks
soft,softs
software,softwares
soil,soils
solid,solids
solution,solutia
somewhere,somewheres
son,sa
song,songs
sort,sorts
sound,sounds
soup,soups
source,sources
south,souths
space,spaces
spare,spares
speaker,speakers
special,specials
specialist,specialists
specific,specifics
speech,speeches
speed,speeds
spell,spells
spend,spends
spirit,spirits
spiritual,spirituals
spite,spites
split,splits
sport,sports
spot,spots
spray,sprays
spread,spreads
spring,springs
square,squares
stable,stables
staff,stafves
stage,stages
stand,stands
standard,standards
star,stars
start,starts
state,states
statement,statements
station,statia
status,stati
stay,stays
steak,steaks
steal,steals
step,steps
stick,sticks
still,stills
stock,stocks
stomach,stomaches
stop,stops
storage,storages
store,stores
storm,storms
story,stories
strain,strains
stranger,strangers
strategy,strategies
street,streets
strength,strengths
stress,stresses
stretch,stretches
strike,strikes
string,strings
strip,strips
stroke,strokes
structure,structures
struggle,struggles
student,students
studio,studioes
study,studies
stuff,stufves
stupid,stupids
style,styles
subject,subjects
substance,substances
success,successes
suck,sucks
sugar,sugars
suggestion,suggestia
suit,suits
summer,summers
sun,suns
supermarket,supermarkets
support,supports
surgery,surgeries
surprise,surprises
surround,surrounds
survey,surveys
suspect,suspects
sweet,sweets
swim,swims
swimming,swimmings
swing,swings
switch,switches
sympathy,sympathies
system,systems
table,tables
tackle,tackles
tale,tales
talk,talks
tank,tanks
tap,taps
target,targets
task,tasks
taste,tastes
tax,taxes
tea,teas
teach,teaches
teacher,teachers
teaching,teachings
team,teams
tear,tears
technology,technologies
telephone,telephones
television,televisia
tell,tells
temperature,temperatures
temporary,temporaries
tennis,tennes
tension,tensia
term,terms
test,tests
text,texts
thanks,thankses
theme,themes
theory,theories
thing,things
thought,thoughts
throat,throats
ticket,tickets
tie,ties
till,tills
time,times
tip,tips
title,titles
today,todays
toe,toes
tomorrow,tomorrows
tone,tones
tongue,tongues
tonight,tonights
tool,tools
tooth,teeth
top,tops
topic,topics
total,totals
touch,touches
tough,toughs
tour,tours
tourist,tourists
towel,towels
tower,towers
town,towns
track,tracks
trade,trades
tradition,traditia
traffic,traffics
train,trains
trainer,trainers
training,trainings
transition,transitia
transportation,transportatia
trash,trashes
travel,travels
treat,treats
tree,trees
trick,tricks
trip,trips
trouble,troubles
truck,trucks
trust,trusts
truth,truths
try,tries
tune,tunes
turn,turns
twist,twists
two,twoes
type,types
uncle,uncles
understanding,understandings
union,unia
unique,uniques
unit,units
university,universities
upper,uppers
upstairs,upstairses
use,uses
user,users
usual,usuals
vacation,vacatia
valuable,valuables
value,values
variation,variatia
variety,varieties
vast,vasts
vegetable,vegetables
vehicle,vehicles
version,versia
video,videoes
view,views
village,villages
virus,viri
visit,visits
visual,visuals
voice,voices
volume,volumes
wait,waits
wake,wakes
walk,walks
wall,walls
war,wars
warning,warnings
wash,washes
watch,watches
water,waters
wave,waves
way,ways
weakness,weaknesses
wealth,wealths
wear,wears
weather,weathers
web,webs
wedding,weddings
week,weeks
weekend,weekends
weight,weights
weird,weirds
welcome,welcomes
west,wests
western,westerns
wheel,wheels
whereas,whereases
while,whiles
white,whites
whole,wholes
wife,wives
will,wills
win,wins
wind,winds
window,windows
wine,wines
wing,wings
winner,winners
winter,winters
wish,wishes
witness,witnesses
woman,women
wonder,wonders
wood,woods
word,words
work,works
worker,workers
working,workings
world,worlds
worry,worries
worth,worths
wrap,wraps
writer,writers
writing,writings
yard,yards
year,years
yellow,yellows
yesterday,yesterdays
you,yous
young,youngs
youth,youths
zone,zones
